dataset,experiment,x_label,x_value,n_e,n_c,capacity,profile_size,initial_assignment,iteration_number,seed,method,total_rank_improvement,execution_time,peak_memory_mb,cycle_count
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,3,80126,TTC,543,0.018471522,0.628251076,111
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,4,80127,W-TTC,615,0.018000029,0.446660042,108
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,4,80127,ReACT-TTC,448,0.022489483,0.639956474,110
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,4,80127,TTC,448,0.020066303,0.638819695,110
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,5,80128,W-TTC,518,0.0212046,0.405261993,124
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,5,80128,ReACT-TTC,405,0.025024512,0.604999542,112
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,5,80128,TTC,405,0.023028175,0.604961395,112
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,6,80129,W-TTC,646,0.01908449,0.430322647,108
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,6,80129,ReACT-TTC,435,0.024920739,0.625346184,119
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,6,80129,TTC,435,0.022850764,0.625308037,119
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,7,80130,W-TTC,613,0.019484403,0.329482079,114
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,7,80130,ReACT-TTC,491,0.024065037,0.56887722,115
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,7,80130,TTC,491,0.021762394,0.568839073,115
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,8,80131,W-TTC,666,0.019802147,0.444185257,108
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,8,80131,ReACT-TTC,534,0.02227098,0.611750603,113
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,8,80131,TTC,534,0.0199009,0.611712456,113
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,9,80132,W-TTC,678,0.018215474,0.408999443,112
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,9,80132,ReACT-TTC,485,0.026374699,0.607821465,123
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,9,80132,TTC,485,0.024726579,0.608515739,123
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,10,80133,W-TTC,658,0.022060316,0.419592857,111
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,10,80133,ReACT-TTC,484,0.021934159,0.612751007,115
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,10,80133,TTC,484,0.020730656,0.611980438,115
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,1,100124,W-TTC,964,0.033080697,0.501101494,121
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,1,100124,ReACT-TTC,796,0.035316152,0.891207695,132
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,1,100124,TTC,796,0.032610826,0.890437126,132
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,2,100125,W-TTC,988,0.028431889,0.4896698,116
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,2,100125,ReACT-TTC,813,0.035574921,0.941324234,123
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,2,100125,TTC,813,0.032731547,0.941652298,123
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,3,100126,W-TTC,1062,0.026384347,0.572144508,117
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,3,100126,ReACT-TTC,837,0.035141447,0.959815979,119
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,3,100126,TTC,837,0.031415127,0.960144043,119
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,4,100127,W-TTC,1128,0.023025147,0.481436729,117
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,4,100127,ReACT-TTC,789,0.038848632,0.912011147,114
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,4,100127,TTC,789,0.034597625,0.911973,114
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,5,100128,W-TTC,1122,0.028564692,0.477477074,166
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,5,100128,ReACT-TTC,876,0.034095667,0.916982651,120
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,5,100128,TTC,876,0.030908804,0.916212082,120
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,6,100129,W-TTC,987,0.03021129,0.487921715,210
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,6,100129,ReACT-TTC,779,0.04127313,0.880013466,128
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,6,100129,TTC,779,0.037112831,0.88034153,128
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,7,100130,W-TTC,1049,0.029930313,0.541960716,123
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,7,100130,ReACT-TTC,846,0.043207729,0.94092083,156
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,7,100130,TTC,846,0.039051868,0.941248894,156
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,8,100131,W-TTC,1051,0.025451837,0.538567543,114
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,8,100131,ReACT-TTC,814,0.038620222,0.944040298,124
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,8,100131,TTC,814,0.035130114,0.944002151,124
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,9,100132,W-TTC,1042,0.024625554,0.498996735,118
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,9,100132,ReACT-TTC,801,0.037808279,0.926440239,126
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,9,100132,TTC,801,0.039631834,0.939143181,126
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,10,100133,W-TTC,950,0.025227021,0.522022247,111
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,10,100133,ReACT-TTC,717,0.035362861,0.918837547,116
combined_data_jd200_1.csv,varying_ev,Total EV,100,100,50,2,2,random,10,100133,TTC,717,0.03193588,0.918066978,116
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,1,120124,W-TTC,1465,0.037865948,0.529322624,132
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,1,120124,ReACT-TTC,1198,0.053319983,1.253703117,130
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,1,120124,TTC,1198,0.050003051,1.25366497,130
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,2,120125,W-TTC,1464,0.037116958,0.516389847,151
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,2,120125,ReACT-TTC,1168,0.043751464,1.166791916,144
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,2,120125,TTC,1168,0.040499964,1.16711998,144
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,3,120126,W-TTC,1402,0.036302095,0.659246445,115
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,3,120126,ReACT-TTC,1140,0.041993514,1.253351212,120
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,3,120126,TTC,1140,0.038114935,1.253679276,120
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,4,120127,W-TTC,1649,0.032531882,0.605165482,141
